t;p
0,016499999999999956;38615,06210546065
0,016599999999999955;38785,676726176076
0,016699999999999954;38955,64325093284
0,016799999999999954;39124,96281564238
0,016899999999999953;39293,63655199798
0,016999999999999953;39461,66558755915
0,017099999999999952;39629,051045834516
0,01719999999999995;39795,79404636328
0,01729999999999995;39961,89570479523
0,01739999999999995;40127,35713296942
0,01749999999999995;40292,17943899146
0,01759999999999995;40456,36372730952
0,01769999999999995;40619,911098789096
0,017799999999999948;40782,82265078646
0,017899999999999947;40945,099477220974
0,017999999999999947;41106,742668646206
0,018099999999999946;41267,75331231989
0,018199999999999945;41428,13249227279
0,018299999999999945;41587,881289376455
0,018399999999999944;41747,00078140995
0,018499999999999944;41905,49204312551
0,018599999999999943;42063,35614631319
0,018699999999999942;42220,59415986462
0,018799999999999942;42377,20714983565
0,01889999999999994;42533,196179508224
0,01899999999999994;42688,56230945123
0,01909999999999994;42843,3065975805
0,01919999999999994;42997,43009921798
0,01929999999999994;43150,933867149986
0,019399999999999938;43303,818951684705
0,019499999999999938;43456,08640070885
0,019599999999999937;43607,73725974355
0,019699999999999936;43758,77257199948
0,019799999999999936;43909,19337843122
0,019899999999999935;44059,00071779093
0,019999999999999934;44208,19562668126
0,020099999999999934;44356,77913960765
0,020199999999999933;44504,752289029835
0,020299999999999933;44652,11610541281
0,020399999999999932;44798,87161727708
0,02049999999999993;44945,01985124831
0,02059999999999993;45090,56183210634
0,02069999999999993;45235,49858283362
0,02079999999999993;45379,83112466306
0,02089999999999993;45523,56047712531
0,02099999999999993;45666,687658095456
0,021099999999999928;45809,2136838392
0,021199999999999927;45951,139569058534
0,021299999999999927;46092,46632693682
0,021399999999999926;46233,19496918342
0,021499999999999925;46373,32650607786
0,021599999999999925;46512,861946513396
0,021699999999999924;46651,80229804025
0,021799999999999924;46790,148566908305
0,021899999999999923;46927,90175810933
0,021999999999999922;47065,062875418844
0,022099999999999922;47201,63292143749
0,02219999999999992;47337,61289763201
0,02229999999999992;47473,00380437581
0,02239999999999992;47607,806640989125
0,02249999999999992;47742,02240577881
0,02259999999999992;47875,652096077705
0,022699999999999918;48008,69670828371
0,022799999999999918;48141,15723789838
0,022899999999999917;48273,03467956528
0,022999999999999916;48404,33002710794
0,023099999999999916;48535,04427356746
0,023199999999999915;48665,1784112398
0,023299999999999915;48794,73343171278
0,023399999999999914;48923,710325902706
0,023499999999999913;49052,11008409072
0,023599999999999913;49179,933695958855
0,023699999999999912;49307,18215062579
0,02379999999999991;49433,85643668231
0,02389999999999991;49559,957542226504
0,02399999999999991;49685,48645489866
0,02409999999999991;49810,44416191594
0,02419999999999991;49934,83165010677
0,02429999999999991;50058,64990594493
0,024399999999999908;50181,8999155835
0,024499999999999907;50304,58266488846
0,024599999999999907;50426,69913947215
0,024699999999999906;50548,250324726374
0,024799999999999905;50669,237205855425
0,024899999999999905;50789,66076790878
0,024999999999999904;50909,521995813644
0,025099999999999904;51028,82187440723
0,025199999999999903;51147,56138846889
